,Exchange_rate,Differenced_Data
2014-02-01,0.6039376736320812,-0.003226867958689872
2014-03-01,0.6015399422521656,-0.002397731379915613
2014-04-01,0.5970862192500597,-0.0044537230021058916
2014-05-01,0.5937537109606935,-0.003332508289366154
2014-06-01,0.5914360066240832,-0.002317704336610271
2014-07-01,0.5859603890776984,-0.0054756175463848145
2014-08-01,0.5988023952095809,0.012842006131882466
2014-09-01,0.6138735420503376,0.015071146840756722
2014-10-01,0.6221226825930074,0.008249140542669786
2014-11-01,0.6340752013188764,0.011952518725868999
2014-12-01,0.6392227051904884,0.0051475038716120025
2015-01-01,0.660414740457007,0.021192035266518583
2015-02-01,0.6523582751647204,-0.008056465292286541
2015-03-01,0.6685385746757588,0.016180299511038387
2015-04-01,0.6680919294494923,-0.0004466452262665843
2015-05-01,0.6469979296066253,-0.021093999842866973
2015-06-01,0.6420133538777606,-0.004984575728864682
2015-07-01,0.6426735218508998,0.0006601679731391696
2015-08-01,0.6419309282321222,-0.0007425936187775983
2015-09-01,0.6519754857217368,0.010044557489614636
2015-10-01,0.6517630189663038,-0.00021246675543296067
2015-11-01,0.6581545346847439,0.0063915157184400995
2015-12-01,0.6675121820973233,0.009357647412579384
2016-01-01,0.6948304613674263,0.027318279270102996
2016-02-01,0.6997900629811057,0.004959601613679365
2016-03-01,0.7018036353428311,0.002013572361725391
2016-04-01,0.6983727913960472,-0.0034308439467838348
2016-05-01,0.6885155604516663,-0.009857230944380957
2016-06-01,0.7043741635556808,0.015858603104014546
2016-07-01,0.7613826709304097,0.057008507374728845
2016-08-01,0.7633005114113426,0.0019178404809329086
2016-09-01,0.76103500761035,-0.002265503800992552
2016-10-01,0.8110300081103,0.04999500049994998
2016-11-01,0.8043758043758044,-0.006654203734495656
2016-12-01,0.8010894816951054,-0.00328632268069895
2017-01-01,0.8086035416835127,0.007514059988407262
2017-02-01,0.8003201280512204,-0.008283413632292236
2017-03-01,0.8099133392726979,0.009593211221477493
2017-04-01,0.7912018355882585,-0.018711503684439412
2017-05-01,0.7734550235903782,-0.017746811997880307
2017-06-01,0.7806401249024201,0.007185101312041864
2017-07-01,0.7694675284702985,-0.01117259643212154
2017-08-01,0.7720815318097591,0.002614003339460602
2017-09-01,0.7496251874062968,-0.022456344403462336
2017-10-01,0.7574609907589759,0.007835803352679083
2017-11-01,0.7566013467503971,-0.0008596440085787416
2017-12-01,0.7460459564309161,-0.01055539031948105
2018-01-01,0.7233796296296295,-0.02266632680128655
2018-02-01,0.7162810686913545,-0.007098560938274989
2018-03-01,0.7155123068116772,-0.0007687618796773377
2018-04-01,0.710277718587968,-0.005234588223709258
2018-05-01,0.7423904974016333,0.032112778813665366
2018-06-01,0.7522190461862495,0.009828548784616142
2018-07-01,0.759762953958365,0.0075439077721155545
2018-08-01,0.7765180928715639,0.016755138913198908
2018-09-01,0.765345170671973,-0.011172922199590873
2018-10-01,0.7685213648939441,0.003176194221971018
2018-11-01,0.7751937984496123,0.006672433555668267
2018-12-01,0.7896399241945673,0.014446125744954963
2019-01-01,0.7751337105650724,-0.01450621362949489
2019-02-01,0.7682851874615857,-0.0068485231034867144
2019-03-01,0.75947444368497,-0.008810743776615726
2019-04-01,0.767518612326349,0.008044168641379024
2019-05-01,0.777907429015947,0.010388816689598013
2019-06-01,0.7889546351084812,0.011047206092534179
2019-07-01,0.8025038118931065,0.013549176784625305
2019-08-01,0.8223684210526316,0.01986460915952515
2019-09-01,0.8084727948904519,-0.013895626162179764
2019-10-01,0.790076637433831,-0.01839615745662082
2019-11-01,0.776156473144986,-0.013920164288845016
2019-12-01,0.7628346937218705,-0.01332177942311552
2020-01-01,0.7647598654022636,0.0019251716803930785
2020-02-01,0.7720219254226821,0.007262060020418515
2020-03-01,0.8084727948904519,0.036450869467769764
2020-04-01,0.8051529790660226,-0.0033198158244293063
2020-05-01,0.8128759551292473,0.007722976063224696
2020-06-01,0.7985307035055498,-0.014345251623697486
2020-07-01,0.7873395795606645,-0.011191123944885306
2020-08-01,0.760861294985924,-0.02647828457474044
2020-09-01,0.7723797018614351,0.011518406875511089
2020-10-01,0.7704160246533127,-0.001963677208122405
2020-11-01,0.7576905591756327,-0.012725465477680054
2020-12-01,0.7443799315170463,-0.013310627658586371
2021-01-01,0.7330840847445201,-0.011295846772526152
2021-02-01,0.7211365111415591,-0.011947573602961059
2021-03-01,0.7213445863088797,0.00020807516732057607
2021-04-01,0.7222824124232574,0.00093782611437776
2021-05-01,0.7100255609201931,-0.012256851503064325
2021-06-01,0.7130124777183601,0.002986916798166983
2021-07-01,0.7242178447276941,0.011205367009334055
2021-08-01,0.7247952453431906,0.0005774006154964928
2021-09-01,0.7282260413632392,0.0034307960200485876
2021-10-01,0.7298737318443909,0.0016476904811516535
2021-11-01,0.7427764985515858,0.012902766707194924
2021-12-01,0.7517101405697962,0.008933642018210453
2022-01-01,0.7377351530800443,-0.0139749874897519
2022-02-01,0.7385524372230428,0.0008172841429984201
2022-03-01,0.7594167679222358,0.020864330699193023
2022-04-01,0.7732158045310447,0.013799036608808879
2022-05-01,0.8039877793857533,0.030771974854708617
2022-06-01,0.8116883116883117,0.007700532302558405
2022-07-01,0.8342370901810294,0.022548778492717747
2022-08-01,0.8345155637152634,0.00027847353423393617
2022-09-01,0.88339222614841,0.04887666243314659
2022-10-01,0.8824567596187787,-0.0009354665296312792
2022-11-01,0.8527330092947898,-0.029723750323988885
2022-12-01,0.8210180623973727,-0.03171494689741705
2023-01-01,0.8171937566396993,-0.003824305757673452
