,Exchange_rate,Differenced_Data
2014-02-01,62.1642,0.05850000000000222
2014-03-01,60.9476,-1.2165999999999997
2014-04-01,60.3464,-0.6011999999999986
2014-05-01,59.2843,-1.062100000000001
2014-06-01,59.7367,0.45239999999999725
2014-07-01,60.0956,0.35889999999999844
2014-08-01,60.8738,0.7782000000000053
2014-09-01,60.8976,0.02379999999999427
2014-10-01,61.3668,0.4692000000000007
2014-11-01,61.6828,0.3160000000000025
2014-12-01,62.7071,1.0242999999999967
2015-01-01,62.13,-0.5770999999999944
2015-02-01,61.9905,-0.1395000000000053
2015-03-01,62.4805,0.490000000000002
2015-04-01,62.6414,0.16089999999999804
2015-05-01,63.715,1.073600000000006
2015-06-01,63.7809,0.06589999999999918
2015-07-01,63.6045,-0.176400000000001
2015-08-01,65.0971,1.492599999999996
2015-09-01,66.1667,1.0696000000000083
2015-10-01,65.0262,-1.140500000000003
2015-11-01,66.1,1.0737999999999914
2015-12-01,66.5023,0.402300000000011
2016-01-01,67.3332,0.8308999999999997
2016-02-01,68.2395,0.9063000000000017
2016-03-01,66.8909,-1.3486000000000047
2016-04-01,66.4219,-0.4690000000000083
2016-05-01,66.8895,0.46760000000000446
2016-06-01,67.2655,0.3760000000000048
2016-07-01,67.158,-0.1075000000000017
2016-08-01,66.9035,-0.2545000000000073
2016-09-01,66.7138,-0.18969999999998777
2016-10-01,66.7415,0.02769999999999584
2016-11-01,67.6395,0.8979999999999961
2016-12-01,67.8052,0.16570000000000107
2017-01-01,68.0474,0.24219999999999686
2017-02-01,66.9726,-1.0747999999999962
2017-03-01,65.8009,-1.1717000000000013
2017-04-01,64.536,-1.2648999999999972
2017-05-01,64.4195,-0.11650000000000205
2017-06-01,64.4482,0.028700000000000614
2017-07-01,64.424,-0.024199999999993338
2017-08-01,63.9683,-0.4557000000000073
2017-09-01,64.4775,0.509200000000007
2017-10-01,65.0357,0.5581999999999994
2017-11-01,64.8435,-0.1921999999999997
2017-12-01,64.2445,-0.5990000000000038
2018-01-01,63.6452,-0.5992999999999995
2018-02-01,64.43,0.7848000000000042
2018-03-01,65.0455,0.6154999999999973
2018-04-01,65.6729,0.6273999999999944
2018-05-01,67.51,1.8371000000000066
2018-06-01,67.79,0.28000000000000114
2018-07-01,68.6867,0.8966999999999956
2018-08-01,69.6317,0.9449999999999932
2018-09-01,72.2779,2.6462000000000074
2018-10-01,73.5609,1.2830000000000013
2018-11-01,71.738,-1.8229000000000042
2018-12-01,70.8331,-0.9048999999999978
2019-01-01,70.71,-0.12310000000000798
2019-02-01,71.1739,0.4639000000000095
2019-03-01,69.4895,-1.6843999999999966
2019-04-01,69.4068,-0.08270000000000266
2019-05-01,69.7827,0.37590000000000146
2019-06-01,69.388,-0.3947000000000003
2019-07-01,68.7391,-0.6489000000000118
2019-08-01,71.1891,2.450000000000003
2019-09-01,71.311,0.12190000000001078
2019-10-01,71.0086,-0.3024000000000058
2019-11-01,71.4942,0.48560000000000514
2019-12-01,71.1567,-0.3375000000000057
2020-01-01,71.279,0.12229999999999563
2020-02-01,71.5295,0.2505000000000024
2020-03-01,74.5482,3.0186999999999955
2020-04-01,76.1682,1.6200000000000045
2020-05-01,75.6575,-0.5106999999999999
2020-06-01,75.7077,0.0502000000000038
2020-07-01,74.9286,-0.7790999999999997
2020-08-01,74.5657,-0.3628999999999962
2020-09-01,73.5233,-1.0424000000000007
2020-10-01,73.5648,0.041499999999999204
2020-11-01,74.2311,0.6662999999999926
2020-12-01,73.6195,-0.6115999999999957
2021-01-01,73.1106,-0.508899999999997
2021-02-01,72.8053,-0.30530000000000257
2021-03-01,72.8196,0.014299999999991542
2021-04-01,74.5186,1.6990000000000123
2021-05-01,73.2065,-1.312100000000001
2021-06-01,73.5782,0.3716999999999899
2021-07-01,74.539,0.9608000000000061
2021-08-01,74.1155,-0.4235000000000042
2021-09-01,73.6357,-0.47979999999999734
2021-10-01,74.92,1.2843000000000018
2021-11-01,74.477,-0.44299999999999784
2021-12-01,75.3948,0.9177999999999997
2022-01-01,74.4075,-0.9873000000000047
2022-02-01,74.9695,0.5619999999999976
2022-03-01,76.1896,1.2201000000000022
2022-04-01,76.1719,-0.017700000000004934
2022-05-01,77.2933,1.1214000000000084
2022-06-01,78.09,0.7967000000000013
2022-07-01,79.5915,1.501499999999993
2022-08-01,79.5065,-0.08499999999999375
2022-09-01,80.2538,0.7472999999999956
2022-10-01,82.2915,2.037700000000001
2022-11-01,81.6805,-0.6110000000000042
2022-12-01,82.4738,0.7933000000000021
2023-01-01,81.741,-0.7327999999999975
2023-02-01,82.5995,0.8585000000000065
2023-03-01,82.2665,-0.3330000000000126
2023-04-01,81.9685,-0.2979999999999876
2023-05-01,82.2977,0.32920000000000016
2023-06-01,82.2252,-0.07250000000000512
2023-07-01,82.1565,-0.06870000000000687
2023-08-01,82.8122,0.6557000000000102
2023-09-01,83.07,0.2577999999999889
2023-10-01,83.2162,0.14620000000000744
2023-11-01,83.266,0.04980000000000473
2023-12-01,83.254,-0.012000000000000455
2024-01-01,83.1119,-0.14209999999999923
