,Exchange_rate,Differenced_Data
2014-02-01,102.1253,-1.636099999999999
2014-03-01,102.3395,0.21420000000000528
2014-04-01,102.4582,0.11870000000000402
2014-05-01,101.7738,-0.6844000000000108
2014-06-01,102.0629,0.2891000000000048
2014-07-01,101.74,-0.3229000000000042
2014-08-01,102.9438,1.203800000000001
2014-09-01,107.4257,4.48190000000001
2014-10-01,108.0264,0.6006999999999891
2014-11-01,116.2994,8.27300000000001
2014-12-01,119.3233,3.0238999999999976
2015-01-01,118.25,-1.0733000000000033
2015-02-01,118.76,0.5100000000000051
2015-03-01,120.3945,1.6344999999999885
2015-04-01,119.5095,-0.8849999999999909
2015-05-01,120.798,1.288499999999999
2015-06-01,123.7186,2.920599999999993
2015-07-01,123.3109,-0.4076999999999913
2015-08-01,123.0038,-0.3071000000000055
2015-09-01,120.1476,-2.856200000000001
2015-10-01,120.0481,-0.09949999999999193
2015-11-01,122.6432,2.595099999999988
2015-12-01,121.635,-1.008199999999988
2016-01-01,118.2258,-3.4091999999999985
2016-02-01,114.6155,-3.6103000000000094
2016-03-01,112.9317,-1.6837999999999909
2016-04-01,109.5519,-3.379800000000003
2016-05-01,108.8481,-0.7038000000000011
2016-06-01,105.3509,-3.4972000000000065
2016-07-01,104.191,-1.1598999999999933
2016-08-01,101.2383,-2.952700000000007
2016-09-01,101.7843,0.5460000000000065
2016-10-01,103.9075,2.123199999999997
2016-11-01,108.443,4.535499999999999
2016-12-01,115.9981,7.555099999999996
2017-01-01,114.8721,-1.1259999999999906
2017-02-01,112.9116,-1.9604999999999961
2017-03-01,112.9165,0.004899999999992133
2017-04-01,110.091,-2.8255000000000052
2017-05-01,112.2436,2.1526000000000067
2017-06-01,110.9141,-1.329499999999996
2017-07-01,112.417,1.5028999999999968
2017-08-01,109.827,-2.5900000000000034
2017-09-01,110.776,0.9489999999999981
2017-10-01,112.9148,2.1388000000000034
2017-11-01,112.819,-0.095799999999997
2017-12-01,112.9405,0.1214999999999975
2018-01-01,110.871,-2.069500000000005
2018-02-01,107.97,-2.9009999999999962
2018-03-01,106.0468,-1.9231999999999942
2018-04-01,107.6562,1.6093999999999937
2018-05-01,109.6882,2.0319999999999965
2018-06-01,110.0638,0.3756000000000057
2018-07-01,111.521,1.4572000000000003
2018-08-01,110.9965,-0.5245000000000033
2018-09-01,112.0974,1.1008999999999958
2018-10-01,112.7218,0.6244000000000085
2018-11-01,113.338,0.6161999999999921
2018-12-01,112.1994,-1.1385999999999967
2019-01-01,108.9605,-3.238900000000001
2019-02-01,110.44,1.4795000000000016
2019-03-01,111.1443,0.7043000000000035
2019-04-01,111.6414,0.4971000000000032
2019-05-01,109.9714,-1.6700000000000017
2019-06-01,108.0685,-1.9029000000000025
2019-07-01,108.2864,0.2179000000000002
2019-08-01,106.1886,-2.0978000000000065
2019-09-01,107.54,1.3514000000000124
2019-10-01,108.1368,0.5967999999999876
2019-11-01,108.8579,0.721100000000007
2019-12-01,109.101,0.24309999999999832
2020-01-01,109.2667,0.16570000000000107
2020-02-01,110.0295,0.7627999999999986
2020-03-01,107.6673,-2.3622000000000014
2020-04-01,107.7386,0.07130000000000791
2020-05-01,107.2,-0.5386000000000024
2020-06-01,107.5782,0.37819999999999254
2020-07-01,106.6818,-0.8963999999999999
2020-08-01,106.0129,-0.6688999999999936
2020-09-01,105.589,-0.4239000000000033
2020-10-01,105.2095,-0.37949999999999307
2020-11-01,104.4061,-0.8034000000000106
2020-12-01,103.7952,-0.6109000000000009
2021-01-01,103.7883,-0.006899999999987472
2021-02-01,105.3774,1.5890999999999877
2021-03-01,108.6991,3.321700000000007
2021-04-01,109.0445,0.34539999999999793
2021-05-01,109.112,0.06749999999999545
2021-06-01,110.1073,0.9953000000000003
2021-07-01,110.2143,0.10699999999999932
2021-08-01,109.8527,-0.3615999999999957
2021-09-01,110.161,0.3083000000000027
2021-10-01,113.1215,2.960499999999996
2021-11-01,113.965,0.8435000000000059
2021-12-01,113.8329,-0.13210000000000832
2022-01-01,114.8255,0.9926000000000101
2022-02-01,115.2763,0.450800000000001
2022-03-01,118.5774,3.301099999999991
2022-04-01,126.3743,7.796900000000008
2022-05-01,128.8486,2.4742999999999995
2022-06-01,133.9619,5.1133000000000095
2022-07-01,136.709,2.747099999999989
2022-08-01,135.2835,-1.4254999999999995
2022-09-01,143.2843,8.000799999999998
2022-10-01,147.0515,3.7672000000000025
2022-11-01,142.445,-4.606500000000011
2022-12-01,134.9148,-7.530199999999979
2023-01-01,130.4475,-4.467300000000023
2023-02-01,133.0463,2.5988000000000113
2023-03-01,133.6643,0.617999999999995
2023-04-01,133.4745,-0.1897999999999911
2023-05-01,137.0532,3.5786999999999978
2023-06-01,141.3581,4.3049000000000035
2023-07-01,140.936,-0.42210000000000036
2023-08-01,144.7804,3.844399999999979
2023-09-01,147.845,3.064600000000013
2023-10-01,149.5933,1.7483000000000004
2023-11-01,149.679,0.08570000000000277
2023-12-01,143.9815,-5.697499999999991
2024-01-01,146.2943,2.3127999999999815
