,0
2014-02-01,0.1644304130491976
2014-03-01,0.1619984124155583
2014-04-01,0.1606528933586093
2014-05-01,0.1603077909586406
2014-06-01,0.160498186370494
2014-07-01,0.16133195663397
2014-08-01,0.1624932971514925
2014-09-01,0.1629142093773418
2014-10-01,0.1632626406099492
2014-11-01,0.1632679717219873
2014-12-01,0.1615874349610574
2015-01-01,0.1608208295138386
2015-02-01,0.159953933267219
2015-03-01,0.1602923732888789
2015-04-01,0.1612643122077084
2015-05-01,0.1611993229628435
2015-06-01,0.1611551601882292
2015-07-01,0.1610695014898928
2015-08-01,0.1577710111544104
2015-09-01,0.1570450405176204
2015-10-01,0.1574679159121328
2015-11-01,0.1571338780641106
2015-12-01,0.1550603960242514
2016-01-01,0.152146791224173
2016-02-01,0.1526694248942764
2016-03-01,0.1537822750549771
2016-04-01,0.1544306143249837
2016-05-01,0.1532355690402856
2016-06-01,0.1517634917744187
2016-07-01,0.1497656168096928
2016-08-01,0.1504528631179851
2016-09-01,0.1499205421126802
2016-10-01,0.1485817868445686
2016-11-01,0.1461945557147451
2016-12-01,0.1445128471921153
2017-01-01,0.145123136981729
2017-02-01,0.1455731213788686
2017-03-01,0.1450536698578474
2017-04-01,0.145188454614089
2017-05-01,0.1452580509274726
2017-06-01,0.1469162283665853
2017-07-01,0.1477235796377818
2017-08-01,0.1499925003749812
2017-09-01,0.1522301720200944
2017-10-01,0.150934283213089
2017-11-01,0.1510574018126888
2017-12-01,0.1516714190377965
2018-01-01,0.1556832157925054
2018-02-01,0.158270420841049
2018-03-01,0.1582929686263336
2018-04-01,0.1588133466736544
2018-05-01,0.1569834068538955
2018-06-01,0.154676648466381
2018-07-01,0.1488892859269847
2018-08-01,0.1460856353994711
2018-09-01,0.1458767924610873
2018-10-01,0.1445274674451879
2018-11-01,0.1441607680885723
2018-12-01,0.1452707119717593
2019-01-01,0.1473557019288861
2019-02-01,0.1484406311695637
2019-03-01,0.1489891088961397
2019-04-01,0.1488959366298893
2019-05-01,0.1459449203870459
2019-06-01,0.144975861519057
2019-07-01,0.1454016721192293
2019-08-01,0.1415849013861161
2019-09-01,0.1405738223428033
2019-10-01,0.1409224785445526
2019-11-01,0.1424521716833573
2019-12-01,0.1425780971527154
2020-01-01,0.1445420906567992
2020-02-01,0.142924521560164
2020-03-01,0.1424399971512
2020-04-01,0.1414267126774905
2020-05-01,0.1408133378393601
2020-06-01,0.1412110257568911
2020-07-01,0.1427735183678131
2020-08-01,0.14436263894904
2020-09-01,0.1468299415616832
2020-10-01,0.1486900407410711
2020-11-01,0.1514486059155825
2020-12-01,0.1529215665285275
2021-01-01,0.1546264225630876
2021-02-01,0.1547963653813408
2021-03-01,0.1535885975825154
2021-04-01,0.1534071733194244
2021-05-01,0.1554702196794204
2021-06-01,0.1556420233463035
2021-07-01,0.154409153374612
2021-08-01,0.154397233201581
2021-09-01,0.1548874742499574
2021-10-01,0.1558312036402169
2021-11-01,0.1565214669191879
2021-12-01,0.1570031243621748
2022-01-01,0.1573415570520485
2022-02-01,0.1576391954095466
2022-03-01,0.1576143492103521
2022-04-01,0.1554968123153475
2022-05-01,0.1492760113449768
2022-06-01,0.1493607360497072
2022-07-01,0.1484736904620501
2022-08-01,0.1470436866793124
2022-09-01,0.142460289194387
2022-10-01,0.1390781897582821
2022-11-01,0.1392524926196179
2022-12-01,0.1434370383120329
2023-01-01,0.1472667295004712
2023-02-01,0.1462415911085112
2023-03-01,0.1451189249590039
2023-04-01,0.145188454614089
2023-05-01,0.1431557247974346
2023-06-01,0.1396375010472812
2023-07-01,0.1391536673949042
2023-08-01,0.1379576745854372
2023-09-01,0.1370257197275928
2023-10-01,0.1368531975749613
2023-11-01,0.1384542962368122
2023-12-01,0.1400520993809697
2024-01-01,0.1394563989568661
2024-02-01,0.13830721805894808
2024-03-01,0.1378170351614835
2024-04-01,0.13742067543635456
2024-05-01,0.13574402379621886
2024-06-01,0.13490852043915236
2024-07-01,0.13424334433222354
2024-08-01,0.13346280982750958
2024-09-01,0.13288463819461127
2024-10-01,0.13244150749094077
2024-11-01,0.13312356444480597
